url,category,indicator,country,country_code,data_points,latest_year,collected_at
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=EGY,indicator_NY.GDP.MKTP.CD,GDP (current US$),"Egypt, Arab Rep.",EGY,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=KEN,indicator_NY.GDP.MKTP.CD,GDP (current US$),Kenya,KEN,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=MAR,indicator_NY.GDP.MKTP.CD,GDP (current US$),Morocco,MAR,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SEN,indicator_NY.GDP.MKTP.CD,GDP (current US$),Senegal,SEN,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=CIV,indicator_NY.GDP.MKTP.CD,GDP (current US$),Cote d'Ivoire,CIV,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=TUN,indicator_NY.GDP.MKTP.CD,GDP (current US$),Tunisia,TUN,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=CMR,indicator_NY.GDP.MKTP.CD,GDP (current US$),Cameroon,CMR,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=MEX,indicator_NY.GDP.MKTP.CD,GDP (current US$),Mexico,MEX,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=ARG,indicator_NY.GDP.MKTP.CD,GDP (current US$),Argentina,ARG,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=COL,indicator_NY.GDP.MKTP.CD,GDP (current US$),Colombia,COL,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=CHL,indicator_NY.GDP.MKTP.CD,GDP (current US$),Chile,CHL,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=SAU,indicator_NY.GDP.MKTP.CD,GDP (current US$),Saudi Arabia,SAU,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=ARE,indicator_NY.GDP.MKTP.CD,GDP (current US$),United Arab Emirates,ARE,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.CD?locations=TUR,indicator_NY.GDP.MKTP.CD,GDP (current US$),Turkiye,TUR,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=USA,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),United States,USA,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=GBR,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),United Kingdom,GBR,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=FRA,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),France,FRA,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=DEU,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Germany,DEU,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=JPN,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Japan,JPN,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=CAN,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Canada,CAN,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=ITA,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Italy,ITA,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=CHN,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),China,CHN,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=IND,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),India,IND,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=BRA,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Brazil,BRA,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=RUS,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Russian Federation,RUS,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=ZAF,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),South Africa,ZAF,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=ESP,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Spain,ESP,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=NLD,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Netherlands,NLD,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=BEL,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Belgium,BEL,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=CHE,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Switzerland,CHE,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=SWE,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Sweden,SWE,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=NOR,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Norway,NOR,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=POL,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Poland,POL,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=AUT,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Austria,AUT,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=PRT,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Portugal,PRT,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=KOR,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),"Korea, Rep.",KOR,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=AUS,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Australia,AUS,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=IDN,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Indonesia,IDN,24,2023,2026-03-06T12:49:38.014457
https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG?locations=THA,indicator_NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Thailand,THA,24,2023,2026-03-06T12:49:38.014457
